id_exercise,category_path,exercise_type,conversion_type
83_6,,remplir_clavier,remplir_clavier
83_7,,remplir_clavier,remplir_clavier
83_8,,transforme_mot,transforme_mot
83_9,,edit_phrase,edit_phrase
83_10,,transforme_phrase,transforme_phrase
83_11,,texte,texte
83_12,,expression_ecrite,expression_ecrite
84_1,,coche_groupe_mots,coche_groupe_mots
84_2,,coche_phrases,coche_phrases
84_4,,remplir_clavier,remplir_clavier
84_5,,coche_phrases,coche_phrases
85_7,,remplir_clavier,remplir_clavier
85_8,,remplir_clavier,remplir_clavier
85_9,,remplir_clavier_cadre,remplir_clavier_cadre
85_10,,edit_phrase,edit_phrase
85_11,,remplir_clavier,remplir_clavier
85_12,,remplir_clavier,remplir_clavier
85_13,,texte,texte
86_1,,coche_groupe_mots,coche_groupe_mots
86_2,,coche_phrases,coche_phrases
86_3,,transforme_phrase,transforme_phrase
87_5,,edit_phrase,edit_phrase
87_6,,edit_phrase,edit_phrase
87_7,,remplir_clavier_cadre,remplir_clavier_cadre
87_8,,remplir_clavier_cadre,remplir_clavier_cadre
87_9,,remplir_clavier_cadre,remplir_clavier_cadre
87_10,,expression_ecrite,expression_ecrite
87_11,,edit_phrase,edit_phrase
87_12,,edit_phrase,edit_phrase
87_13,,expression_ecrite,expression_ecrite
88_1,,coche_mots,coche_mots
88_2,,coche_mots,coche_mots
88_3,,coche_phrases,coche_phrases
88_4,,transforme_phrase,transforme_phrase
88_5,,classe,classe
88_7,,coche_mots,coche_mots
89_9,,transforme_mot,transforme_mot
89_10,,edit_phrase,edit_phrase
89_11,,remplir_clavier,remplir_clavier
89_12,,edit_phrase,edit_phrase
89_13,,coche_phrases,coche_phrases
89_14,,remplir_clavier,remplir_clavier
89_15,,remplir_clavier,remplir_clavier
89_16,,remplir_clavier_cadre,remplir_clavier_cadre
92_1,,coche_phrases,coche_phrases
