id_exercise,category_path,exercise_type,conversion_type
163_8,,transforme_phrase,transforme_phrase
163_9,,remplir_clavier_image,remplir_clavier_image
163_10,,edit_phrase,edit_phrase
163_11,,expression_ecrite,expression_ecrite
164_1,,vrai-faux,vrai-faux
165_3,,cache_intrus,cache_intrus
165_4,,transforme_mot,transforme_mot
165_6,,coche_mots,coche_mots
165_7,,transforme_mot,transforme_mot
165_9,,remplir_clavier_image,remplir_clavier_image
165_10,,remplir_clavier,remplir_clavier
165_11,,transforme_mot,transforme_mot
165_12,,transforme_mot,transforme_mot
165_13,,expression_ecrite,expression_ecrite
166_1,,coche_phrases,coche_phrases
166_2,,swap,swap
166_3,,swap,swap
166_4,,swap,swap
166_6,,edit_phrase,edit_phrase
166_7,,transforme_mot,transforme_mot
166_8,,expression_ecrite,expression_ecrite
166_9,,vrai-faux,vrai-faux
167_13,,cache_intrus,cache_intrus
167_14,,coche_intrus,coche_intrus
167_15,,classe,classe
167_16,,remplir_clavier,remplir_clavier
167_19,,remplir_clavier_image,remplir_clavier_image
167_20,,remplir_clavier_image,remplir_clavier_image
167_21,,transforme_mot,transforme_mot
167_22,,transforme_mot,transforme_mot
167_23,,transforme_mot,transforme_mot
168_1,,coche_phrases,coche_phrases
168_2,,classe,classe
168_4,,cache_intrus,cache_intrus
169_5,,coche_mots,coche_mots
169_6,,coche_mots,coche_mots
169_7,,choix-multiples,choix-multiples
169_9,,transforme_phrase,transforme_phrase
169_10,,remplir_clavier_double,remplir_clavier_double
169_11,,remplir_clavier_double,remplir_clavier_double
169_12,,expression_ecrite,expression_ecrite
170_1,,coche_phrases,coche_phrases
170_3,,cache_intrus,cache_intrus
171_4,,classe,classe
171_5,,transforme_mot,transforme_mot
171_6,,transforme_mot,transforme_mot
171_8,,choix-multiples,choix-multiples
171_9,,remplir_clavier,remplir_clavier
171_10,,transforme_phrase,transforme_phrase
171_12,,remplir_clavier_double,remplir_clavier_double
171_13,,remplir_clavier_image,remplir_clavier_image
171_14,,expression_ecrite,expression_ecrite
172_1,,classe,classe
173_3,,cache_intrus,cache_intrus
173_4,,classe,classe
173_5,,coche_mots,coche_mots
173_6,,transforme_mot,transforme_mot
173_7,,remplir_clavier_double,remplir_clavier_double
173_9,,choix-multiples,choix-multiples
173_10,,expression_ecrite,expression_ecrite
173_11,,expression_ecrite,expression_ecrite
174_1,,coche_phrases,coche_phrases
174_2,,transforme_phrase,transforme_phrase
175_3,,edit_phrase,edit_phrase
175_4,,edit_phrase,edit_phrase
175_5,,transforme_mot,transforme_mot
175_6,,remplir_clavier_image,remplir_clavier_image
175_8,,coche_groupe_mots,coche_groupe_mots
175_9,,transforme_phrase,transforme_phrase
175_10,,expression_ecrite,expression_ecrite
175_11,,expression_ecrite,expression_ecrite
176_1,,classe,classe
176_2,,choix-multiples,choix-multiples
176_3,,coche_phrases,coche_phrases
177_6,,transforme_phrase,transforme_phrase
177_8,,transforme_phrase,transforme_phrase
177_9,,transforme_phrase,transforme_phrase
177_10,,expression_ecrite,expression_ecrite
177_11,,expression_ecrite,expression_ecrite
178_1,,coche_phrases,coche_phrases
178_2,,remplir_clavier_double,remplir_clavier_double
178_3,,coche_mots,coche_mots
178_7,,remplir_clavier_double,remplir_clavier_double
178_8,,classe,classe
179_9,,remplir_clavier_double,remplir_clavier_double
179_10,,remplir_clavier_double,remplir_clavier_double
179_11,,transforme_phrase,transforme_phrase
179_12,,remplir_clavier_double,remplir_clavier_double
179_14,,classe,classe
179_15,,classe,classe
179_16,,remplir_clavier,remplir_clavier
179_17,,remplir_clavier,remplir_clavier
179_18,,transforme_mot,transforme_mot
180_1,,transforme_phrase,transforme_phrase
180_2,,classe,classe
180_3,,choix-multiples,choix-multiples
180_4,,choix-multiples,choix-multiples
180_5,,expression_ecrite,expression_ecrite
180_6,,swap,swap
181_7,,swap,swap
181_8,,remplir_clavier,remplir_clavier
181_9,,classe,classe
181_10,,remplir_clavier_image,remplir_clavier_image
181_11,,choix-multiples,choix-multiples
181_12,,expression_ecrite,expression_ecrite
182_1,,classe,classe
182_2,,cache_intrus,cache_intrus
182_3,,coche_mots,coche_mots
183_5,,choix-multiples,choix-multiples
183_6,,coche_mots,coche_mots
183_7,,choix-multiples,choix-multiples
183_9,,choix-multiples,choix-multiples
183_10,,expression_ecrite,expression_ecrite
184_1,,remplir_clavier_image,remplir_clavier_image
184_2,,classe,classe
184_3,,classe,classe
184_4,,transforme_phrase,transforme_phrase
184_5,,choix-multiples,choix-multiples
185_7,,remplir_clavier_image,remplir_clavier_image
185_10,,transforme_mot,transforme_mot
185_11,,transforme_mot,transforme_mot
185_12,,expression_ecrite,expression_ecrite
186_1,,classe,classe
186_2,,classe-cm,classe-cm
186_3,,choix-multiples,choix-multiples
187_4,,choix-multiples,choix-multiples
187_5,,coche_intrus,coche_intrus
187_6,,swap,swap
187_7,,classe-cm,classe-cm
187_8,,coche_mots,coche_mots
187_9,,choix-multiples,choix-multiples
187_10,,expression_ecrite,expression_ecrite
188_1,,classe-cm,classe-cm
188_2,,choix-multiples,choix-multiples
189_3,,choix-multiples,choix-multiples
189_5,,remplir_clavier,remplir_clavier
189_6,,choix-multiples,choix-multiples
189_7,,expression_ecrite,expression_ecrite
190_1,,coche_phrases,coche_phrases
190_3,,choix-multiples,choix-multiples
191_4,,expression_ecrite,expression_ecrite
191_5,,coche_mots,coche_mots
191_6,,choix-multiples,choix-multiples
191_8,,expression_ecrite,expression_ecrite
191_9,,expression_ecrite,expression_ecrite
